file_name,model,category_id,iteration_number,question_index,GPT1,GPT2,GPT3,GPT4,GPT5,GPT_overall_score,GPT_overall_score_wo_Q4&5
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,1,0.0,0.0,1.0,0.0,0.0,0.2,0.3333333333333333
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GPT-score_rephrased_true_answers_answers_category_1.1_HIV_EQ.json,rephrased_true_answers,1,1,9,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_rephrased_true_answers_answers_category_1.2_HIV_EQ.json,rephrased_true_answers,1,2,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
GPT-score_rephrased_true_answers_answers_category_1.2_HIV_EQ.json,rephrased_true_answers,1,2,1,0.0,0.0,1.0,0.0,0.0,0.2,0.3333333333333333
